Date,Stock,weight
2023-01-02,HCLTECH,0.5
2023-01-02,HINDUNILVR,0.5
2023-01-09,ICICIBANK,0.5
2023-01-09,TCS,0.5
2023-01-16,BAJFINANCE,0.5
2023-01-16,MARUTI,0.5
2023-01-23,BAJFINANCE,0.5
2023-01-23,INFY,0.5
2023-01-30,BAJFINANCE,0.5
2023-01-30,HINDUNILVR,0.5
2023-02-06,BHARTIARTL,0.5
2023-02-06,MARUTI,0.5
2023-02-13,INFY,0.5
2023-02-13,HINDUNILVR,0.5
2023-02-20,MARUTI,0.5
2023-02-20,BHARTIARTL,0.5
2023-02-27,MARUTI,0.5
2023-02-27,INFY,0.5
2023-03-06,HDFCBANK,0.5
2023-03-06,ICICIBANK,0.5
2023-03-13,BAJFINANCE,0.5
2023-03-13,HDFCBANK,0.5
2023-03-20,MARUTI,0.5
2023-03-20,BAJFINANCE,0.5
2023-03-27,BAJFINANCE,0.5
2023-03-27,HCLTECH,0.5
2023-04-03,MARUTI,0.5
2023-04-03,HINDUNILVR,0.5
2023-04-10,BHARTIARTL,0.5
2023-04-10,RELIANCE,0.5
2023-04-17,BHARTIARTL,0.5
2023-04-17,HINDUNILVR,0.5
2023-04-24,MARUTI,0.5
2023-04-24,HINDUNILVR,0.5
2023-05-01,MARUTI,0.5
2023-05-01,HINDUNILVR,0.5
2023-05-08,INFY,0.5
2023-05-08,HDFCBANK,0.5
2023-05-15,HINDUNILVR,0.5
2023-05-15,INFY,0.5
2023-05-22,TCS,0.5
2023-05-22,ICICIBANK,0.5
2023-05-29,BHARTIARTL,0.5
2023-05-29,INFY,0.5
2023-06-05,BHARTIARTL,0.5
2023-06-05,HDFCBANK,0.5
2023-06-12,TCS,0.5
2023-06-12,ICICIBANK,0.5
2023-06-19,INFY,0.5
2023-06-19,BHARTIARTL,0.5
2023-06-26,RELIANCE,0.5
2023-06-26,INFY,0.5
2023-07-03,INFY,0.5
2023-07-03,BAJFINANCE,0.5
2023-07-10,HCLTECH,0.5
2023-07-10,INFY,0.5
2023-07-17,ICICIBANK,0.5
2023-07-17,BAJFINANCE,0.5
2023-07-24,BHARTIARTL,0.5
2023-07-24,HCLTECH,0.5
2023-07-31,BHARTIARTL,0.5
2023-07-31,ICICIBANK,0.5
2023-08-07,MARUTI,0.5
2023-08-07,ICICIBANK,0.5
2023-08-14,BHARTIARTL,0.5
2023-08-14,HINDUNILVR,0.5
2023-08-21,TCS,0.5
2023-08-21,RELIANCE,0.5
2023-08-28,RELIANCE,0.5
2023-08-28,MARUTI,0.5
2023-09-04,HINDUNILVR,0.5
2023-09-04,BAJFINANCE,0.5
2023-09-11,BAJFINANCE,0.5
2023-09-11,ICICIBANK,0.5
2023-09-18,HINDUNILVR,0.5
2023-09-18,ICICIBANK,0.5
2023-09-25,ICICIBANK,0.5
2023-09-25,BHARTIARTL,0.5
2023-10-02,TCS,0.5
2023-10-02,HCLTECH,0.5
2023-10-09,ICICIBANK,0.5
2023-10-09,MARUTI,0.5
2023-10-16,HINDUNILVR,0.5
2023-10-16,BHARTIARTL,0.5
2023-10-23,HDFCBANK,0.5
2023-10-23,HINDUNILVR,0.5
2023-10-30,BHARTIARTL,0.5
2023-10-30,BAJFINANCE,0.5
2023-11-06,ICICIBANK,0.5
2023-11-06,MARUTI,0.5
2023-11-13,INFY,0.5
2023-11-13,BAJFINANCE,0.5
2023-11-20,HINDUNILVR,0.5
2023-11-20,ICICIBANK,0.5
2023-11-27,HINDUNILVR,0.5
2023-11-27,ICICIBANK,0.5
2023-12-04,TCS,0.5
2023-12-04,BAJFINANCE,0.5
2023-12-11,BAJFINANCE,0.5
2023-12-11,RELIANCE,0.5
2023-12-18,HINDUNILVR,0.5
2023-12-18,HDFCBANK,0.5
2023-12-25,BAJFINANCE,0.5
2023-12-25,BHARTIARTL,0.5
2024-01-01,HINDUNILVR,0.5
2024-01-01,BHARTIARTL,0.5
2024-01-08,HDFCBANK,0.5
2024-01-08,MARUTI,0.5
2024-01-15,BAJFINANCE,0.5
2024-01-15,MARUTI,0.5
2024-01-22,ICICIBANK,0.5
2024-01-22,HDFCBANK,0.5
2024-01-29,TCS,0.5
2024-01-29,RELIANCE,0.5
2024-02-05,HDFCBANK,0.5
2024-02-05,HINDUNILVR,0.5
2024-02-12,HDFCBANK,0.5
